Sample_Name,Sample_Plate,Sample_Group,Pool_ID,Project,Sample_Well,Array,Slide,Batchname,Basename,filenames,Cancer,Purity_Impute_Absolute,Amp1,Amp2,Gain,HetLoss,HomDel,diploid
TCGA-ZP-A9D1-01A-11D-A383-05,NA,Tumor,NA,NA,NA,R05C01,9721366037,9721366037,./9721366037_R05C01,./9721366037_R05C01,LIHC,0.4990375,NA,NA,NA,NA,NA,NA
TCGA-ZP-A9D2-01A-11D-A383-05,NA,Tumor,NA,NA,NA,R01C02,9721366044,9721366044,./9721366044_R01C02,./9721366044_R01C02,LIHC,0.580476666666667,NA,NA,NA,NA,NA,NA
TCGA-ZP-A9D4-01A-11D-A36Y-05,NA,Tumor,NA,NA,NA,R04C02,9934987122,9934987122,./9934987122_R04C02,./9934987122_R04C02,LIHC,0.639471833333335,NA,NA,NA,NA,NA,NA
TCGA-ZS-A9CD-01A-11D-A36Y-05,NA,Tumor,NA,NA,NA,R03C01,9934987122,9934987122,./9934987122_R03C01,./9934987122_R03C01,LIHC,0.467923833333333,NA,NA,NA,NA,NA,NA
TCGA-ZS-A9CE-01A-11D-A36Y-05,NA,Tumor,NA,NA,NA,R05C01,9934987122,9934987122,./9934987122_R05C01,./9934987122_R05C01,LIHC,0.647990166666667,NA,NA,NA,NA,NA,NA
TCGA-ZS-A9CF-01A-11D-A383-05,NA,Tumor,NA,NA,NA,R05C02,9721366062,9721366062,./9721366062_R05C02,./9721366062_R05C02,LIHC,0.669944166666666,NA,NA,NA,NA,NA,NA
TCGA-ZS-A9CG-01A-11D-A36Y-05,NA,Tumor,NA,NA,NA,R01C02,9934987028,9934987028,./9934987028_R01C02,./9934987028_R01C02,LIHC,0.571210000000001,NA,NA,NA,NA,NA,NA
TCGA-75-7030-01A-11D-1947-05,NA,Tumor,NA,NA,NA,R05C01,6285650107,6285650107,./6285650107_R05C01,./6285650107_R05C01,LUAD,0.354160666666667,,,ADAR;AKT3;AR;ARPC1A;AURKA;BAG4;BIRC2;C11orf30;C8orf4;CCND1;CCND2;CCNE1;CD274;CDC6;CDK4;CDK6;CHD1L;CKS1B;DCUN1D1;DNMT3B;DYRK2;E2F3;EEF1A2;EGFR;EIF2A;EIF2S1;EIF5A2;ERBB2;ETV1;FADD;FGFR1;GATA6;GRB7;HRAS;JUN;KIT;KRAS;LSM1;MAP3K5;MDM2;MDM4;MED29;MET;MITF;MTDH;MYB;MYC;MYCL1;MYCN;NCOA3;NRAS;PAFAH1B1;PAK1;PAX9;PIK3CA;PIK3CB;PIK3CD;PIK3CG;PKN1;PLA2G10;PPM1D;PTK6;RAB23;REL;RPS6KB1;RUVBL1;SETDB1;SHC1;SKP2;SLTM;SMURF1;SOX2;SOX4;STARD3;TFDP1;TRIB1;TRIT1;WHSC1L1;YAP1;YEATS4;YWHAB;YWHAQ;YWHAZ;ZNF217,,,BIRC2;BIRC3;BRCA2;CDKN2A;CDKN2B;CDKN2C;FANCD2;FAT1;PTEN;RB1;TET1;VHL
TCGA-75-7031-01A-11D-1947-05,NA,Tumor,NA,NA,NA,R03C01,6285650106,6285650106,./6285650106_R03C01,./6285650106_R03C01,LUAD,0.480772000000001,ADAR;AKT3;AR;BAG4;C8orf4;CDC6;CKS1B;EIF2S1;ERBB2;FGFR1;GATA6;GRB7;LSM1;MAP3K5;MDM4;MYB;PAX9;SHC1;SKP2;STARD3;TFDP1;WHSC1L1,EEF1A2;MTDH;MYC;PTK6;TRIB1,ARPC1A;AURKA;BIRC2;C11orf30;CCND1;CCND2;CCNE1;CD274;CDK4;CDK6;CHD1L;DCUN1D1;DNMT3B;DYRK2;E2F3;EGFR;EIF2A;EIF5A2;ETV1;FADD;HRAS;JUN;KIT;KRAS;MDM2;MED29;MET;MITF;MYCL1;MYCN;NCOA3;NRAS;PAFAH1B1;PAK1;PIK3CA;PIK3CB;PIK3CD;PIK3CG;PKN1;PLA2G10;PPM1D;RAB23;REL;RPS6KB1;RUVBL1;SETDB1;SLTM;SMURF1;SOX2;SOX4;TRIT1;YAP1;YEATS4;YWHAB;YWHAQ;YWHAZ;ZNF217,,,PTEN;TET1
TCGA-78-7145-01A-11D-2037-05,NA,Tumor,NA,NA,NA,R06C02,6929742045,6929742045,./6929742045_R06C02,./6929742045_R06C02,LUAD,0.623047666666666,ADAR;AKT3;AR;ARPC1A;BAG4;CDC6;CDK4;CDK6;CKS1B;DCUN1D1;DYRK2;EGFR;EIF2A;EIF2S1;EIF5A2;ERBB2;ETV1;FGFR1;GRB7;JUN;KIT;KRAS;LSM1;MDM2;MDM4;MET;MITF;MTDH;MYCL1;MYCN;PAX9;PIK3CA;PIK3CB;PIK3CD;PIK3CG;PPM1D;REL;RPS6KB1;RUVBL1;SHC1;SMURF1;SOX2;STARD3;TRIT1;WHSC1L1;YEATS4;YWHAQ,MYC;YWHAZ,AURKA;BIRC2;C11orf30;C8orf4;CCND1;CCND2;CCNE1;CD274;CHD1L;DNMT3B;E2F3;EEF1A2;FADD;GATA6;HRAS;MAP3K5;MED29;MYB;NCOA3;NRAS;PAFAH1B1;PAK1;PKN1;PLA2G10;PTK6;RAB23;SETDB1;SKP2;SLTM;SOX4;TFDP1;TRIB1;YAP1;YWHAB;ZNF217,,CDKN2A;CDKN2B,BIRC2;BIRC3;BRCA2;RB1
